0
American Idol - Monday
Survivor 48
The X Factor — Thursday
Peyton Place I
Survivor: Caramoan
Who Wants to Be a Millionaire — Sunday
ABC Wednesday Movie of the Week
Thursday Night Football
CBS Sunday Night Movie
Who Wants to Be a Millionaire — Wednesday
"The $64,000 Challenge"
Dancing with the Stars — Results
The Lawman
Batman (Thurs.)
20/20 — Monday
Dancing with the Stars: Athletes
Tuesday Movie of the Week
The Voice — Tuesday
Survivor 47
American Idol - Wednesday
Tuesday Night at the Movies
Deal or No Deal — Monday
Dateline NBC — Wednesday
American Idol - Thursday
Who Wants to Be a Millionaire — Thursday
20/20 — Wednesday
American Idol — Thursday
The NBC Sunday Mystery Movie
CBS Wednesday Movie
Dateline NBC — Friday
NBC Sunday Movie
Who Wants to Be a Millionaire — Tuesday
NBC Sunday Night Movie
Deal or No Deal — Wednesday
Dancing with the Stars — Monday
Dancing with the Stars — Wednesday
The Buick Circus Hour
Survivor (Thailand & Amazon)
The Big Event — Sunday
The Bachelor/The Bachelorette
NBC Monday Night Movie
ABC Mystery Movie
Gangbusters
20/20 — Friday
The NBC Mystery Movie
Dateline NBC — Monday
American Idol: Monday
The X Factor — Wednesday
American Idol — Wednesday
American Idol — Tuesday
Dateline NBC — Tuesday
Dancing with the Stars — Tuesday
The Alan Young Show
Peyton Place II
Batman (Wed.)
CBS Sunday Movie
The Voice: Monday
Little House: A New Beginning
The Voice: Tuesday
Who Wants to Be a Millionaire — Friday
