title,camera
The Jackie Gleason Show,Multi-camera
Name That Tune,Unknown
Gunsmoke,Unknown
The Danny Thomas Show,Unknown
Tales of Wells Fargo,Unknown
Have Gun – Will Travel,Unknown
I've Got a Secret,Unknown
The Life and Legend of Wyatt Earp,Unknown
General Electric Theater,Unknown
The Restless Gun,| company              = {{Plainlist|
December Bride,Unknown
You Bet Your Life,Unknown
The Perry Como Show,Unknown
Alfred Hitchcock Presents,Single-camera
Cheyenne,Unknown
The Ford Show,Multi-camera
The Red Skelton Show,Unknown
The Gale Storm Show,Unknown
The Millionaire,Unknown
The Lineup,Unknown
This Is Your Life,Unknown
"The $64,000 Question",Multi-camera
Zane Grey Theater,Unknown
Lassie,Unknown
Wagon Train,Unknown
Sugarfoot,Single-camera
Father Knows Best,Unknown
Twenty-One,Unknown
The Ed Sullivan Show,Multi-camera
The Jack Benny Show,Unknown
People Are Funny,Unknown
The Loretta Young Show,Single-camera
Zorro,Unknown
The Real McCoys,Single-camera
Gunsmoke,Unknown
Wagon Train,Unknown
Have Gun – Will Travel,Unknown
The Rifleman,Unknown
The Danny Thomas Show,Unknown
Maverick,Unknown
Tales of Wells Fargo,Unknown
The Real McCoys,Single-camera
I've Got a Secret,Unknown
The Life and Legend of Wyatt Earp,Unknown
The Price Is Right,Unknown
The Red Skelton Show,Unknown
Zane Grey Theater,Unknown
Father Knows Best,Unknown
The Texan,Unknown
Wanted: Dead or Alive,Unknown
Peter Gunn,Single-camera
Cheyenne,Unknown
Perry Mason,Unknown
The Ford Show,Multi-camera
Sugarfoot,Single-camera
The Ann Sothern Show,Unknown
The Perry Como Show,Unknown
Alfred Hitchcock Presents,Single-camera
Name That Tune,Unknown
General Electric Theater,Unknown
The Lawman,Unknown
Rawhide,Unknown
This Is Your Life,Unknown
The Millionaire,Unknown
Gunsmoke,Unknown
Wagon Train,Unknown
Have Gun – Will Travel,Unknown
The Danny Thomas Show,Unknown
The Red Skelton Show,Unknown
Father Knows Best,Unknown
77 Sunset Strip,Single-camera
The Price Is Right,Unknown
Wanted: Dead or Alive,Unknown
Perry Mason,Unknown
The Real McCoys,Single-camera
The Ed Sullivan Show,Multi-camera
The Rifleman,Unknown
The Ford Show,Multi-camera
The Lawman,Unknown
Dennis the Menace,Unknown
Cheyenne,Unknown
Rawhide,Unknown
Maverick,Unknown
The Life and Legend of Wyatt Earp,Unknown
Mr. Lucky,Unknown
Zane Grey Theater,Unknown
General Electric Theater,Unknown
The Ann Sothern Show,Unknown
Alfred Hitchcock Presents,Single-camera
You Bet Your Life,Unknown
What's My Line?,Unknown
I've Got a Secret,Unknown
The Perry Como Show,Unknown
Lassie,Unknown
Gunsmoke,Unknown
Wagon Train,Unknown
Have Gun – Will Travel,Unknown
The Andy Griffith Show,Single-camera
The Real McCoys,Single-camera
Rawhide,Unknown
Candid Camera,Single camera
The Untouchables,Unknown
The Price Is Right,Unknown
The Jack Benny Show,Unknown
Dennis the Menace,Unknown
The Danny Thomas Show,Unknown
My Three Sons,Unknown
77 Sunset Strip,Single-camera
The Ed Sullivan Show,Multi-camera
Perry Mason,Unknown
Bonanza,Unknown
The Flintstones,Unknown
The Red Skelton Show,Unknown
General Electric Theater,Unknown
Checkmate,Unknown
What's My Line?,Unknown
The Many Loves of Dobie Gillis,Single-camera setup
The Ford Show,Multi-camera
The Garry Moore Show,Unknown
The Lawman,Unknown
The Rifleman,Unknown
Cheyenne,Unknown
Peter Gunn,Single-camera
Route 66,Unknown
Wagon Train,Unknown
Bonanza,Unknown
Gunsmoke,Unknown
Hazel,Unknown
Perry Mason,Unknown
The Red Skelton Show,Unknown
The Andy Griffith Show,Single-camera
The Danny Thomas Show,Unknown
Dr. Kildare,Unknown
Candid Camera,Single camera
My Three Sons,Unknown
The Garry Moore Show,Unknown
Rawhide,Unknown
The Real McCoys,Single-camera
Lassie,Unknown
Sing Along with Mitch,<!-- Either Single-camera or Multi-camera -->
Dennis the Menace,Unknown
Ben Casey,Unknown
The Ed Sullivan Show,Multi-camera
"Car 54, Where Are You?",Single-camera
The Flintstones,Unknown
The Many Loves of Dobie Gillis,Single-camera setup
Walt Disney's Wonderful World of Color,Unknown
The Joey Bishop Show,Unknown
The Perry Como Show,Unknown
The Defenders,Unknown
The Price Is Right,Unknown
The Rifleman,Unknown
Have Gun – Will Travel,Unknown
The Donna Reed Show,Single-camera
77 Sunset Strip,Single-camera
The Beverly Hillbillies,Single-camera
Candid Camera,Single camera
The Red Skelton Show,Unknown
Bonanza,Unknown
The Lucy Show,Multi-camera
The Andy Griffith Show,Single-camera
Ben Casey,Unknown
The Danny Thomas Show,Unknown
The Dick Van Dyke Show,Unknown
Gunsmoke,Unknown
Dr. Kildare,Unknown
The Jack Benny Show,Unknown
What's My Line?,Unknown
The Ed Sullivan Show,Multi-camera
Hazel,Unknown
I've Got a Secret,Unknown
The Jackie Gleason Show,Multi-camera
The Defenders,Unknown
The Garry Moore Show,Unknown
To Tell the Truth,Unknown
Lassie,Unknown
Rawhide,Unknown
Perry Mason,Unknown
Walt Disney's Wonderful World of Color,Unknown
Wagon Train,Unknown
The Virginian,Unknown
Route 66,Unknown
My Three Sons,Unknown
Have Gun – Will Travel,Unknown
The Flintstones,Unknown
The Beverly Hillbillies,Single-camera
Bonanza,Unknown
The Dick Van Dyke Show,Unknown
Petticoat Junction,Single-camera
The Andy Griffith Show,Single-camera
The Lucy Show,Multi-camera
Candid Camera,Single camera
The Ed Sullivan Show,Multi-camera
The Danny Thomas Show,Unknown
My Favorite Martian,Single-camera
The Red Skelton Show,Unknown
I've Got a Secret,Unknown
Lassie,Unknown
The Jack Benny Show,Unknown
The Jackie Gleason Show,Multi-camera
The Donna Reed Show,Single-camera
The Virginian,Unknown
The Patty Duke Show,Single-camera
Dr. Kildare,Unknown
Gunsmoke,Unknown
Walt Disney's Wonderful World of Color,Unknown
Hazel,Unknown
McHale's Navy,Single-camera
To Tell the Truth,Unknown
What's My Line?,Unknown
Perry Mason,Unknown
My Three Sons,Unknown
The Fugitive,Unknown
The Adventures of Ozzie and Harriet,Single-camera
The Danny Kaye Show,Multi-camera
Bob Hope Presents the Chrysler Theatre,Unknown
Bonanza,Unknown
Bewitched,Single-camera
"Gomer Pyle, U.S.M.C.",Unknown
The Andy Griffith Show,Single-camera
The Fugitive,Unknown
The Red Skelton Hour,Unknown
The Dick Van Dyke Show,Unknown
The Lucy Show,Multi-camera
Peyton Place,Unknown
Combat!,Unknown
Walt Disney's Wonderful World of Color,Unknown
The Beverly Hillbillies,Single-camera
My Three Sons,Unknown
Branded,Unknown
Petticoat Junction,Single-camera
The Ed Sullivan Show,Multi-camera
Lassie,Unknown
The Munsters,Single-camera
Gilligan's Island,Film; single-camera
Peyton Place,Unknown
The Jackie Gleason Show,Multi-camera
The Virginian,Unknown
The Addams Family,Unknown
My Favorite Martian,Single-camera
Flipper,Unknown
I've Got a Secret,Unknown
Gunsmoke,Unknown
The Patty Duke Show,Single-camera
McHale's Navy,Single-camera
The Lawrence Welk Show,Unknown
Bonanza,Unknown
"Gomer Pyle, U.S.M.C.",Unknown
The Lucy Show,Multi-camera
The Red Skelton Hour,Unknown
Batman,Unknown
The Andy Griffith Show,Single-camera
Bewitched,Single-camera
The Beverly Hillbillies,Single-camera
Hogan's Heroes,Unknown
Batman,Unknown
Green Acres,Single-camera
Get Smart,single-camera
The Man from U.N.C.L.E.,Single-camera
Daktari,Unknown
My Three Sons,Unknown
The Dick Van Dyke Show,Unknown
Walt Disney's Wonderful World of Color,Unknown
The Ed Sullivan Show,Multi-camera
The Lawrence Welk Show,Unknown
I've Got a Secret,Unknown
Petticoat Junction,Single-camera
Gilligan's Island,Film; single-camera
The Wild Wild West,Unknown
The Jackie Gleason Show,Multi-camera
The Virginian,Unknown
Daniel Boone,Unknown
Lassie,Unknown
I Dream of Jeannie,Single-camera
Flipper,Unknown
Gunsmoke,Unknown
Bonanza,Unknown
The Red Skelton Hour,Unknown
The Andy Griffith Show,Single-camera
The Lucy Show,Multi-camera
The Jackie Gleason Show,Multi-camera
Green Acres,Single-camera
Daktari,Unknown
Bewitched,Single-camera
The Beverly Hillbillies,Single-camera
"Gomer Pyle, U.S.M.C.",Unknown
The Virginian,Unknown
The Lawrence Welk Show,Unknown
The Ed Sullivan Show,Multi-camera
The Dean Martin Show,Unknown
Family Affair,Unknown
The Smothers Brothers Comedy Hour,Multi-camera
Friday Night Movies,Unknown
Hogan's Heroes,Unknown
Walt Disney's Wonderful World of Color,Unknown
Saturday Night at the Movies,Unknown
Dragnet,Unknown
Get Smart,single-camera
Petticoat Junction,Single-camera
The Rat Patrol,Unknown
Daniel Boone,Unknown
Bob Hope Presents the Chrysler Theatre,Unknown
Tarzan,Unknown
ABC Sunday Night Movie,Unknown
I Spy,Unknown
CBS Thursday Movie,Unknown
My Three Sons,Unknown
The F.B.I.,Unknown
The Andy Griffith Show,Single-camera
The Lucy Show,Multi-camera
"Gomer Pyle, U.S.M.C.",Unknown
Gunsmoke,Unknown
Family Affair,Unknown
Bonanza,Unknown
The Red Skelton Show,Unknown
The Dean Martin Show,Unknown
The Jackie Gleason Show,Multi-camera
Saturday Night at the Movies,Unknown
Bewitched,Single-camera
The Beverly Hillbillies,Single-camera
The Ed Sullivan Show,Multi-camera
The Virginian,Unknown
Friday Night Movies,Unknown
Green Acres,Single-camera
The Lawrence Welk Show,Unknown
The Smothers Brothers Comedy Hour,Multi-camera
Gentle Ben,Unknown
Tuesday Night at the Movies,Unknown
Rowan & Martin's Laugh-In,Unknown
The F.B.I.,Unknown
Thursday Night Movie,Unknown
My Three Sons,Unknown
Walt Disney's Wonderful World of Color,Unknown
Ironside,Unknown
The Carol Burnett Show,Multi-camera
Dragnet,Unknown
Daniel Boone,Unknown
Lassie,Unknown
It Takes a Thief,Unknown
Rowan & Martin's Laugh-In,Unknown
"Gomer Pyle, U.S.M.C.",Unknown
Bonanza,Unknown
Mayberry R.F.D.,Unknown
Family Affair,Unknown
Gunsmoke,Unknown
