,year,rank,show_title,network,rating
2244,2023,20,Law & Order: Special Victims Unit,NBC,6.91
2245,2023,21,,NBC,6.89
2246,2023,22,9-1-1,ABC,6.86
2247,2023,23,Will Trent,ABC,6.74
2248,2023,24,NCIS: Sydney,CBS,6.53
2249,2023,25,Survivor,CBS,6.50
2250,2023,26,So Help Me Todd,CBS,6.18
2251,2023,27,S.W.A.T.,CBS,6.17
2252,2023,28,CSI: Vegas,CBS,6.15
2253,2023,29,The Golden Bachelor,ABC,5.94
2254,2023,30,The Irrational,NBC,5.93
2255,2024,1,Sunday Night Football,NBC,21.6
2256,2024,2,Tracker,CBS,17.4
2257,2024,3,High Potential,ABC,16.1
2258,2024,4,Matlock,CBS,16.0
2259,2024,5,Georgie & Mandy's First Marriage,CBS,12.1
2260,2024,Ghosts,,CBS,12.1
2261,2024,7,Monday Night Football,ABC,11.9
2262,2024,8,Elsbeth,CBS,11.5
2263,2024,9,Will Trent,ABC,11.4
2264,2024,10,9-1-1,ABC,11.1
2265,2024,11,Watson,CBS,11.0
2266,2024,12,Shifting Gears,ABC,10.9
2267,2024,13,The Rookie,ABC,10.8
2268,2024,14,FBI,CBS,10.6
2269,2024,NCIS,,CBS,10.6
2270,2024,16,Chicago Fire,NBC,10.3
2271,2024,17,Blue Bloods,CBS,10.1
2272,2024,18,Chicago P.D.,NBC,9.8
2273,2024,19,Chicago Med,NBC,9.7
2274,2024,20,Fire Country,CBS,9.6
2275,2024,21,NCIS: Origins,CBS,9.3
2276,2024,22,Abbott Elementary,ABC,8.8
2277,2024,23,60 Minutes,CBS,8.7
2278,2024,Law & Order: Special Victims Unit,,CBS,8.7
2279,2024,25,FBI: Most Wanted,CBS,8.4
2280,2024,26,Survivor 48,CBS,8.3
2281,2024,The Voice,,CBS,8.3
2282,2024,28,The Equalizer,CBS,8.2
2283,2024,FBI: International,,CBS,8.2
2284,2024,30,Survivor 47,CBS,7.9
